Servidor de administración virtual,Grupo,Dispositivo,Placa madre,CPU,"Memoria, en MB",Almacenamiento de datos,"Total, en GB","Total disponible, en GB",Adaptador de video,Controlador de interfaz de red,Tarjeta de sonido,Unidad de disco óptico,Monitor,Dirección IP:,Dirección IPv6
,Matriz,PCF0290,H410M S2,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,8192,KINGSTON SA400S37120G 2/120,120,2,NVIDIA GeForce GT 710,Realtek Gaming GbE Family Controller (18:C0:4D:85:E1:68),"NVIDIA High Definition Audio, Realtek High Definition Audio",,"Generic PnP Monitor, Generic PnP Monitor (AQPK81A000476??)",192.168.0.73,N/D
,Matriz,PCF0291,PRIME H510M-E,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,8192,"CT240BX500SSD1 373/1000, KINGSTON SA400S37480G 392/480",1480,765,Intel(R) UHD Graphics 630,Intel(R) Ethernet Connection (14) I219-V (04:42:1A:31:48:83),"High Definition Audio Device, Intel(R) Display Audio",,Generic Monitor (LG HD PLUS),192.168.0.185,N/D
,Matriz,PCF0293,PRIME H510M-E,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,8192,KINGSTON SA400S37480G 360/480,480,360,Intel(R) UHD Graphics 630,Intel(R) Ethernet Connection (14) I219-V (04:42:1A:31:42:33),"High Definition Audio Device, Intel(R) Display Audio",,"Generic Monitor (HP P21b G4) (1CR1361D51), Generic Monitor (HP P22v G4)",192.168.0.145,N/D
,Matriz,PCF0294,PRIME H510M-E,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,12288,KINGSTON SA400S37480G 125/480,480,125,Intel(R) UHD Graphics 630,Intel(R) Ethernet Connection (14) I219-V (04:42:1A:31:53:8D),"High Definition Audio Device, Intel(R) Display Audio",,Generic Monitor,192.168.0.52,N/D
,Matriz,PCF0295,EX-B560M-V5,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,8192,"KINGSTON SA400S37120G 31/120, ST1000DM010-2EP102 836/1000",1120,867,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:42:1A:AF:0C:84),"NVIDIA High Definition Audio, Realtek High Definition Audio",,"Generic Monitor (1970W), Generic Monitor (20EN33) (401NDPH2H928)",192.168.0.94,N/D
,Matriz,PCF0296,EX-B560M-V5,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,8192,"KINGSTON SA400S37120G 40/120, ST1000DM010-2EP102 670/1000",1120,710,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:42:1A:AF:0C:16),"NVIDIA High Definition Audio, Realtek High Definition Audio",,"Generic Monitor (1970W), Generic Monitor (1970W)",192.168.0.56,N/D
,Matriz,PCF0297,EX-B560M-V5,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,8192,"KINGSTON SA400S37120G 41/120, ST1000DM010-2EP102 988/1000",1120,1029,NVIDIA GeForce GT 710,Realtek PCIe GbE Family Controller (04:42:1A:AF:09:49),"NVIDIA High Definition Audio, Realtek High Definition Audio",,"Generic Monitor (E1942) (204NDWE51657), Generic Monitor (2070W) (AQPK81A000474?????ñK??????????# ??ƒ?)",192.168.0.81,N/D
,Matriz,PCF0298,EX-B560M-V5,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,8192,"KINGSTON SA400S37120G 46/120, ST1000DM010-2EP102 942/1000",1120,988,Intel(R) UHD Graphics 630,Realtek PCIe GbE Family Controller (04:42:1A:AF:0C:88),"Realtek High Definition Audio, Intel(R) Display Audio",,"Generic Monitor (LF22T35) (H1AK500000), Generic Monitor (HP LV2011)",192.168.0.90,N/D
,Matriz,PCF0299,0VV4V0,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,12288,"TOSHIBA MQ04ABF100 852/1000, PC SN530 NVMe WDC 256GB 75/256",1256,927,Intel(R) Iris(R) Xe Graphics,"Intel(R) Wi-Fi 6 AX201 160MHz (00:93:37:22:A0:24), Realtek PCIe GbE Family Controller (00:BE:43:8E:63:12)","Realtek Audio, Intel® Smart Sound Technology for USB Audio, Intel® Smart Sound Technology for Bluetooth® Audio",,Generic Monitor (Inspiron 540X),192.168.0.218,N/D
,Matriz,PCF0300,Pro B560M-C,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,12288,"KINGSTON SA400S37120G 48/120, ST1000DM010-2EP102 541/1000",1120,589,NVIDIA GeForce GT 710,Intel(R) Ethernet Connection (14) I219-V (04:42:1A:30:E9:3E),"NVIDIA High Definition Audio, Realtek High Definition Audio, NVIDIA Virtual Audio Device (Wave Extensible) (WDM)",,"Generic Monitor (HP V214a) (CNC92628ZG), Generic Monitor (HP V214a) (CNC92628BL)",192.168.0.215,N/D
,Matriz,PCF0301,B560M-A PRO (MS-7D20),Intel(R) Core(TM) i3-10105 CPU @ 3.70GHz,16384,"KINGSTON SA400S37240G 54/240, ST1000DM010-2EP102 124/1000",1240,178,NVIDIA GeForce GT 710,Realtek PCIe 2.5GbE Family Controller (D8:BB:C1:50:67:A3),"NVIDIA High Definition Audio, Realtek High Definition Audio",,"Generic Monitor (HP P22v G4) (CN42103SWV), Generic Monitor (HP P22v G4) (CN42103SVS)",192.168.0.201,N/D
,Matriz,PCF0302,B560M-A PRO (MS-7D20),Intel(R) Core(TM) i3-10105 CPU @ 3.70GHz,8192,"ST1000DM010-2EP102 427/1000, KINGSTON SA400S37240G 100/240",1240,527,NVIDIA GeForce GT 710,Realtek PCIe 2.5GbE Family Controller (D8:BB:C1:50:64:6C),"NVIDIA High Definition Audio, Realtek High Definition Audio",,"Generic Monitor (2070W) (AQPK81A000186?????ñK??????????# ??ƒ?), Generic Monitor (S19F355) (H4TK400745)",192.168.0.221,N/D
,Matriz,PCF0303,B560M-A PRO (MS-7D20),Intel(R) Core(TM) i3-10105 CPU @ 3.70GHz,8192,"ST1000DM010-2EP102 947/1000, KINGSTON SA400S37240G 163/240",1240,1110,Intel(R) UHD Graphics 630,Realtek PCIe 2.5GbE Family Controller (D8:BB:C1:50:67:9B),"Intel(R) Display Audio, High Definition Audio Device",,Generic Monitor (HP P22v G4),192.168.0.9,N/D
,Matriz,PCF0305,0VV4V0,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,12288,"TOSHIBA MQ04ABF100 866/1000, KBG40ZNS256G NVMe KIOXIA 256GB 16/256",1256,882,Intel(R) Iris(R) Xe Graphics,"Bluetooth Device (Personal Area Network) (C4:03:A8:EB:8E:B6), Intel(R) Wi-Fi 6 AX201 160MHz (C4:03:A8:EB:8E:B2), Realtek PCIe GbE Family Controller (00:BE:43:90:30:3C)","Realtek Audio, Intel® Smart Sound Technology for USB Audio, Intel® Smart Sound Technology for Bluetooth® Audio",,"Generic Monitor (Inspiron 540X), Generic Monitor (SAMSUNG)",192.168.0.234,N/D
,Matriz,PCF0306,PRIME H510M-D,Intel(R) Core(TM) i3-10105 CPU @ 3.70GHz,8192,"ST1000DM010-2EP102 592/1000, KINGSTON SA400S37480G 365/480",1480,957,NVIDIA GeForce 210,Intel(R) Ethernet Connection (14) I219-V (A0:36:BC:28:2C:3C),"NVIDIA High Definition Audio, NVIDIA High Definition Audio, NVIDIA High Definition Audio, NVIDIA High Definition Audio, High Definition Audio Device, NVIDIA Virtual Audio Device (Wave Extensible) (WDM)",,"Generic Monitor (LF22T35) (H1AK500000), Generic Monitor (LF22T35) (H1AK500000)",192.168.0.85,N/D
,Matriz,PCF0307,PRIME H510M-D,Intel(R) Core(TM) i3-10105 CPU @ 3.70GHz,8192,"ST1000DM010-2EP102 669/1000, HP SSD S700 120GB 16/120",1120,685,NVIDIA GeForce GT 710,Intel(R) Ethernet Connection (14) I219-V (A0:36:BC:28:2C:31),"NVIDIA High Definition Audio, High Definition Audio Device",,"Generic Monitor (LF22T35) (H1AK500000), Generic Monitor (LF22T35) (H1AK500000)",192.168.0.66,N/D
,Matriz,PCF0308,PRIME H510M-E,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,8192,"ST1000DM010-2EP102 1000/1000, KINGSTON SA400S37240G 136/240",1240,1136,Intel(R) UHD Graphics 630,Intel(R) Ethernet Connection (14) I219-V (A0:36:BC:28:81:29),"High Definition Audio Device, Intel(R) Display Audio",,"Generic Monitor (HP P22v G4) (CN41391RVN), Generic Monitor (HP P22v G4)",192.168.0.173,N/D
,Matriz,PCF0309,PRIME H510M-E,11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,8192,Netac SSD 480GB 328/480,480,328,NVIDIA GeForce 210,Intel(R) Ethernet Connection (14) I219-V (A0:36:BC:28:7D:46),"NVIDIA High Definition Audio, NVIDIA High Definition Audio, NVIDIA High Definition Audio, NVIDIA Virtual Audio Device (Wave Extensible) (WDM), High Definition Audio Device, NVIDIA High Definition Audio",,"Generic Monitor (1970W), Generic Monitor (S19A33x) (H7BR301956)",192.168.0.133,N/D
,Matriz,PCF0310,PRIME H510M-A,11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,32768,"Netac SSD 480GB 240/480, ST1000DM010-2EP102 816/1000",1480,1056,NVIDIA GeForce GTX 1050 Ti,Intel(R) Ethernet Connection (14) I219-V (A0:36:BC:29:79:20),"High Definition Audio Device, High Definition Audio Device, NVIDIA High Definition Audio",tokenME setup USB Device,"Generic Monitor (C24F390) (H4ZRC00625), Generic Monitor (C24F390) (H4ZRC00402)",192.168.0.22,N/D
,Matriz,PCF0312,PRIME H510M-K,11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,8192,KINGSTON SA400S37480G 387/480,480,387,Intel(R) UHD Graphics 730,"Realtek PCIe GbE Family Controller (14:EB:B6:BF:12:0A), Intel(R) Ethernet Connection (14) I219-V (C8:7F:54:59:56:FB)",High Definition Audio Device,,"Generic Monitor (HP P22v G4), Generic Monitor (HP P22v G4) (CN42130J3W)",192.168.0.157,N/D
,Matriz,PCF0313,PRIME H510M-E,11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,8192,KINGSTON SA400S37480G 201/480,480,201,NVIDIA GeForce GT 710,Intel(R) Ethernet Connection (14) I219-V (C8:7F:54:69:E0:96),"High Definition Audio Device, NVIDIA Virtual Audio Device (Wave Extensible) (WDM), NVIDIA High Definition Audio",,"Generic Monitor (LF22T35) (H1AK500000), Generic Monitor (LF22T35) (H1AK500000)",192.168.0.231,N/D
,Matriz,PCF0315,PRIME H610M-K D4,12th Gen Intel(R) Core(TM) i7-12700,32768,CT500P2SSD8 258/500,500,258,NVIDIA GeForce RTX 3060 Ti,Realtek PCIe GbE Family Controller (50:EB:F6:B7:15:24),"NVIDIA High Definition Audio, High Definition Audio Device",,"Generic Monitor (LF22T35) (H1AK500000), Generic Monitor (HP P21b G4) (1CR1361DDT)",192.168.0.239,N/D
,Matriz,PCF0316,PRIME H510M-E,11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,32768,"TOSHIBA DT01ACA100 349/1000, CT500P3SSD8 218/500",1500,567,"NVIDIA GeForce GTX 1050 Ti, Intel(R) UHD Graphics 730","Bluetooth Device (Personal Area Network) (E8:48:B8:C8:40:00), Intel(R) Ethernet Connection (14) I219-V (C8:7F:54:69:E0:24)","High Definition Audio Device, NVIDIA Virtual Audio Device (Wave Extensible) (WDM), NVIDIA High Definition Audio",,"Generic Monitor (S24F350), Generic Monitor (LS24A33x) (H4TW200328)",192.168.0.198,N/D
,Matriz,PCF0319,0YP4HV,Intel(R) Core(TM) i5-10505 CPU @ 3.20GHz,8192,NVMe Micron 2450 NVMe 256GB 158/256,256,158,Intel(R) UHD Graphics 630,Intel(R) Ethernet Connection (14) I219-LM (74:86:E2:2D:F4:8D),"Realtek Audio, Sonido Intel(R) para pantallas",ATA HL-DT-ST DVD+/-RW GU90N,"Generic Monitor (HP P22v G4), Generic Monitor (HP P22v G4) (CN42103SXN)",192.168.0.29,N/D
,Matriz,PCF0320,0YP4HV,Intel(R) Core(TM) i5-10505 CPU @ 3.20GHz,8192,NVMe Micron 2450 NVMe 256GB 157/256,256,157,Intel(R) UHD Graphics 630,Intel(R) Ethernet Connection (14) I219-LM (74:86:E2:2E:A6:E3),"Realtek Audio, Sonido Intel(R) para pantallas",ATA HL-DT-ST DVD+/-RW GU90N,"AOC 2070W, AOC 2070W (AQPK81A000177?H???ñK??????????# ??ƒ?)",192.168.0.25,N/D
,Matriz,PCF0321,PRIME H510M-D,11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,16384,KINGSTON SNV2S500G 341/500,500,341,Intel(R) UHD Graphics 730,Intel(R) Ethernet Connection (14) I219-V (E8:9C:25:0F:08:4C),"High Definition Audio Device, USB Audio Device",,"Generic Monitor (S22A33x) (H4TW400253), Generic Monitor (S22A33x)",192.168.0.251,N/D
,Matriz,PCF0322,PRIME H510M-D,11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,16384,"KINGSTON SNV2S500G 352/500, CT1000BX500SSD1 601/1000",1500,953,NVIDIA GeForce GT 710,"TP-Link Wireless N PCI Express Adapter (5C:E9:31:E0:72:2C), SonicWALL Virtual NIC, Intel(R) Ethernet Connection (14) I219-V (E8:9C:25:0F:08:37)","NVIDIA High Definition Audio, High Definition Audio Device",,"Generic Monitor (S22A33x) (H4TW200852), Generic Monitor (S22A33x) (H4TW200466)",192.168.0.108,N/D
,Matriz,PCF0323,04H8YK,12th Gen Intel(R) Core(TM) i3-12100,8192,NVMe INTEL SSDPEKNU512GZ 425/512,512,425,"Radeon 550, Intel(R) UHD Graphics 730","Intel(R) Wi-Fi 6E AX211 160MHz (7C:B5:66:BF:D9:66), Intel(R) Ethernet Connection (17) I219-LM (08:92:04:E5:4F:D1), Bluetooth Device (Personal Area Network) (7C:B5:66:BF:D9:6A)",Realtek Audio,ATA HL-DT-ST DVD+/-RW GU90N,"Generic PnP Monitor (H4TW200884), Generic PnP Monitor (H4TW200718)",192.168.0.42,N/D
,Matriz,PCF0326,0GCY4M,12th Gen Intel(R) Core(TM) i5-12500,16384,"WDC WD10SPSX-75A6WT0 988/1000, NVMe PC SN740 NVMe WD 256GB 48/256",1256,1036,Intel(R) UHD Graphics 770,"Intel(R) Wi-Fi 6E AX210 160MHz (14:75:5B:E6:84:8F), Bluetooth Device (Personal Area Network) (14:75:5B:E6:84:93), Realtek PCIe GbE Family Controller (CC:96:E5:06:41:20)","USB Audio Device, Realtek Audio",ATA HL-DT-ST DVD+/-RW GU90N,"Generic Monitor (2070W) (AQPK81A000045?Ò???ñK??????????# ??ƒ?), Generic Monitor (LG HD)",192.168.0.100,N/D
,Matriz,PCF0329,0GCY4M,12th Gen Intel(R) Core(TM) i5-12500,16384,"WDC WD10SPSX-75A6WT0 585/1000, NVMe PC SN740 NVMe WD 256GB 132/256",1256,717,Intel(R) UHD Graphics 770,"Intel(R) Wi-Fi 6E AX210 160MHz (14:75:5B:E6:A0:0A), Bluetooth Device (Personal Area Network) (14:75:5B:E6:A0:0E), Realtek PCIe GbE Family Controller (CC:96:E5:06:3F:48)",Realtek Audio,ATA HL-DT-ST DVD+/-RW GU90N,"Generic Monitor (S22A33x) (H4TW301050), Generic Monitor (S22A33x) (H4TW301089)",192.168.0.61,N/D
,Matriz,PCF0330,PRIME H510M-K R2.0,11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,16384,"ST1000DM010-2EP102 998/1000, NVMe HP SSD EX950 512GB 409/512",1512,1407,Intel(R) UHD Graphics 730,Realtek PCIe GbE Family Controller (E8:9C:25:28:A3:B7),High Definition Audio Device,,"Generic PnP Monitor (AQPK81A000156?`), Generic PnP Monitor",192.168.0.93,N/D
,Matriz,PCF0331,PRIME H510M-K R2.0,11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,16384,"ST1000DM010-2EP102 756/1000, HP SSD EX950 512GB 377/512",1512,1133,Intel(R) UHD Graphics 730,Realtek PCIe GbE Family Controller (E8:9C:25:28:A3:AF),High Definition Audio Device,,"Generic PnP Monitor (H4TW200670), Generic PnP Monitor",192.168.0.95,N/D
,Matriz,PCF0332,PRIME H510M-K R2.0,11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,16384,HP SSD EX950 512GB 409/512,512,409,Intel(R) UHD Graphics 730,Realtek PCIe GbE Family Controller (E8:9C:25:28:99:37),High Definition Audio Device,,"Generic Monitor (2070W) (AQPK81A000397?g???ñK??????????# ??ƒ?), Generic Monitor (HP P204)",192.168.0.60,N/D
,Matriz,PCF0333,PRIME H510M-K R2.0,11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,16384,"WDC WD10EZEX-60WN4A1 782/1000, HP SSD EX950 512GB 430/512",1512,1212,Intel(R) UHD Graphics 730,Realtek PCIe GbE Family Controller (E8:9C:25:28:96:09),High Definition Audio Device,,"Generic Monitor (HP P204) (3CQ9300B36), Generic Monitor (1970W)",192.168.0.26,N/D
,Matriz,PCF283,843B,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,8192,Intel Optane+932GBHDD 748/1000,1000,748,Intel(R) UHD Graphics 630,"Realtek RTL8821CE 802.11ac PCIe Adapter (80:2B:F9:69:84:11), Realtek PCIe GbE Family Controller (F4:39:09:2D:3E:3E)","Realtek High Definition Audio, Intel(R) Display Audio",hp PLDS DVDRW  DU8AESH,"Generic PnP Monitor, Generic PnP Monitor (H1AK500000)",192.168.0.27,N/D
,Terminales,PCF0104,H81M-A,Intel(R) Pentium(R) CPU G3260 @ 3.30GHz,6144,ST1000DM010-2EP102 898/1000,1000,898,Intel(R) HD Graphics,Realtek PCIe GbE Family Controller (38:D5:47:25:0F:C4),Realtek High Definition Audio,HL-DT-ST DVDRAM GH24NSC0,Generic PnP Monitor,192.168.0.228,N/D
,Terminales,PCF0200,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,192.168.0.194,N/D
,Terminales,PCF0288,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,192.168.0.131,N/D
,Terminales,PCF0324,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,192.168.0.252,N/D
,VMs,FILE-SERVER,Virtual Machine,Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,16000,"Microsoft Virtual Disk 91/644, Microsoft Virtual Disk 107/136",780,198,Vídeo de Microsoft Hyper-V,Microsoft Hyper-V Network Adapter (00:15:5D:63:87:05),,,Generic Non-PnP Monitor,192.168.40.11,N/D
,VMs,SEBAOTPRUEBA,Virtual Machine,Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,32000,"Microsoft Virtual Disk 150/536, Microsoft Virtual Disk 29/161",697,179,Vídeo de Microsoft Hyper-V,Microsoft Hyper-V Network Adapter (00:15:5D:63:87:0A),,,Generic Non-PnP Monitor,192.168.40.67,N/D
,VMs,SRV2K16-KAV,Virtual Machine,Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz,8000,Microsoft Virtual Disk 56/161,161,56,Vídeo de Microsoft Hyper-V,Microsoft Hyper-V Network Adapter (00:15:5D:63:4E:1B),,,Generic Non-PnP Monitor,127.0.0.1,N/D
,VMs,SRV2K16-VEEAM,Virtual Machine,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,16000,Microsoft Virtual Disk 43/161,161,43,Vídeo de Microsoft Hyper-V,Microsoft Hyper-V Network Adapter (00:15:5D:3E:9C:00),,,Generic Non-PnP Monitor,192.168.40.143,N/D
,VMs,SRV2K16-VM4,Virtual Machine,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,24000,Microsoft Virtual Disk 155/343,343,155,Vídeo de Microsoft Hyper-V,Microsoft Hyper-V Network Adapter (00:15:5D:63:23:01),,,Generic Non-PnP Monitor,192.168.40.130,N/D
,VMs,SRV2K16-WSUS,Virtual Machine,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,20000,"Microsoft Virtual Disk 69/161, MSFT Virtual HD SCSI Disk Device 685/3999",4160,754,Vídeo de Microsoft Hyper-V,Microsoft Hyper-V Network Adapter (00:15:5D:3E:9C:04),,Microsoft Virtual DVD-ROM,Generic Non-PnP Monitor,192.168.40.15,N/D
,VMs,SRV2K19-DLP,Virtual Machine,Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,16000,"Microsoft Virtual Disk 298/322, Microsoft Virtual Disk 95/136",458,393,Vídeo de Microsoft Hyper-V,Microsoft Hyper-V Network Adapter (00:15:5D:63:87:01),,,Generic Non-PnP Monitor,192.168.40.152,N/D
,VMs,SRV2K19-VM1,Virtual Machine,Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,20000,Microsoft Virtual Disk 31/161,161,31,Microsoft Hyper-V Video,Microsoft Hyper-V Network Adapter (00:15:5D:63:87:00),,,Generic PnP Monitor,192.168.40.1,N/D
,VMs,SRV2K22-MAIL,Virtual Machine,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,24000,"QNAP iSCSI Storage SCSI Disk Device 0/2199, Microsoft Virtual Disk 561/966, Microsoft Virtual Disk 64/136",3301,625,Microsoft Hyper-V Video,Microsoft Hyper-V Network Adapter (00:15:5D:63:8A:06),,,Generic PnP Monitor,192.168.40.7,N/D
,VMs,SRVFOTOS2K19,Virtual Machine,Intel(R) Xeon(R) Silver 4410Y,60000,"Microsoft Virtual Disk 737/3221, Microsoft Virtual Disk 57/136, Microsoft Virtual Disk 52/429",3787,846,Microsoft Hyper-V Video,Microsoft Hyper-V Network Adapter (00:15:5D:CF:A6:02),,,Generic PnP Monitor,192.168.40.2,N/D
,VMs,SRVSEBAOT,Virtual Machine,Intel(R) Xeon(R) Silver 4410Y,210000,"Microsoft Virtual Disk 240/536, Microsoft Virtual Disk 102/136, Microsoft Virtual Disk 302/751",1424,644,Microsoft Hyper-V Video,Microsoft Hyper-V Network Adapter (00:15:5D:CF:A6:04),,,Generic PnP Monitor,192.168.40.3,N/D
,VMs,SRVSEBAOTVIEJO,Virtual Machine,Intel(R) Xeon(R) Silver 4410Y,210000,"Microsoft Virtual Disk 116/536, Microsoft Virtual Disk 232/322, Microsoft Virtual Disk 125/751",1610,473,Microsoft Hyper-V Video,Microsoft Hyper-V Network Adapter (00:15:5D:CF:A6:00),,,Generic PnP Monitor,192.168.40.30,N/D
,VMs,WEB2K16-VM1,Virtual Machine,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,16000,Microsoft Virtual Disk 123/161,161,123,Vídeo de Microsoft Hyper-V,Microsoft Hyper-V Network Adapter (00:15:5D:28:23:10),,,Generic Non-PnP Monitor,192.168.40.247,N/D
,VMs,WEB2K19-VM2,Virtual Machine,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,10000,Microsoft Virtual Disk 40/136,136,40,Microsoft Hyper-V Video,Microsoft Hyper-V Network Adapter (00:15:5D:63:8A:03),,,Generic PnP Monitor,192.168.40.246,N/D
